"Seite","Bereich","Feld","Text"
"index","Hero","title","Systemisch. Auf Augenhöhe. Damit Orientierung, Handlungsspielräume und Sicherheit wachsen können."
"index","Hero","text","Willkommen bei Aufwind Beratung. Ich begleite Frauen und Familien bei persönlichen und familiären Herausforderungen, an beruflichen und persönlichen Wendepunkten sowie rund um die Themen Elternschaft und Schule. Gemeinsam schaffen wir Raum, um neue Perspektiven zu gewinnen, Veränderungen zu gestalten und den eigenen Weg zu finden – persönlich in Wiesbaden oder online."
"index","Hero","button1","Termin vereinbaren"
"index","Hero","button2","Mehr erfahren"
"index","Leistungen","title","Gemeinsam neue Wege entdecken"
"index","Leistungen","intro","Jeder Mensch steht vor individuellen Herausforderungen. Gemeinsam entwickeln wir neue Perspektiven und finden Wege, die zu Ihrer persönlichen Situation passen."
"index","Leistung_1","title","Familien- & Elternberatung"
"index","Leistung_1","text","Wenn Beziehungen schwierig werden und sich vertraute Dynamiken verändern. Unterstützung bei familiären Konflikten, Elternschaft, Kommunikation und Situationen, in denen Schule, Familie und persönliche Belastungen miteinander verbunden sind."
"index","Leistung_1","button","Mehr erfahren"
"index","Leistung_2","title","Beratung für Frauen"
"index","Leistung_2","text","Wenn Sie sich neu orientieren, in einer Veränderung stecken oder wieder mehr bei sich selbst ankommen möchten. Begleitung bei persönlichen und beruflichen Wendepunkten, Selbstzweifeln, Entscheidungsfragen, Grenzen, Rollenveränderungen und neuen Lebensperspektiven."
"index","Leistung_2","button","Mehr erfahren"
"index","Leistung_3","title","Schule & Übergänge"
"index","Leistung_3","text","Wenn Schule zur Herausforderung für Ihr Kind oder die ganze Familie wird. Beratung bei schulischen Übergängen, Konflikten, Überforderung, Motivation, Leistungsdruck und schwierigen Situationen zwischen Eltern, Kindern und Schule."
"index","Leistung_3","button","Mehr erfahren"
"index","Ueber_mich","title","Über Aufwind Beratung"
"index","Ueber_mich","text1","Meine heutige Arbeit basiert auf einer langjährigen beruflichen Erfahrung in sehr unterschiedlichen Kontexten. Mit meiner 30-jährigen Erfahrung in den Bereichen Begabtenförderung, Schule, Lehrerausbildung und professionelle und psychologische Beratung in verschiedenen Kontexten verbinde ich umfassende Kompetenzen mit einem tiefen Verständnis für die vielfältigen Herausforderungen des Alltags. Über viele Jahre hinweg habe ich Menschen zu unterschiedlichen persönlichen, familiären, pädagogischen und beruflichen Fragestellungen beraten und begleitet. Auch als Mutter von zwei Kindern im Alter von 8 und 14 Jahren erlebe ich den Familienalltag aus einer ganz persönlichen Perspektive – mit seinen schönen Momenten, aber auch mit seinen Herausforderungen und Veränderungen. Diese Verbindung aus langjähriger beruflicher Beratungserfahrung und persönlichem Erleben ermöglicht es mir, Eltern und Familien einfühlsam und auf Augenhöhe zu begegnen. In meiner Beratung möchte ich einen geschützten Raum schaffen, in dem Sorgen, Fragen und Unsicherheiten Platz haben und in dem gemeinsam neue Perspektiven und passende Wege gefunden werden können."
"index","Ueber_mich","text2","Gemeinsam entdecken wir Ressourcen, lösen Blockaden und entwickeln neue Möglichkeiten für nachhaltige Veränderungen."
"index","Ueber_mich","button","Mehr über mich"
"index","Ablauf","title","So läuft eine Beratung ab"
"index","Ablauf","intro","Der erste Schritt ist oft der schwerste. Ich begleite Sie Schritt für Schritt – vom ersten Kennenlernen bis zur Entwicklung neuer Perspektiven."
"index","Schritt_1","title","Erstkontakt"
"index","Schritt_1","text","Kurzes Kennenlernen und Terminvereinbarung."
"index","Schritt_2","title","Persönliches Gespräch"
"index","Schritt_2","text","Gemeinsam besprechen wir Ihre Situation, Wünsche und Ziele."
"index","Schritt_3","title","Gemeinsame Lösungen"
"index","Schritt_3","text","Gemeinsam entwickeln wir neue Perspektiven und individuelle Handlungsmöglichkeiten."
"index","Schritt_4","title","Nachhaltige Begleitung"
"index","Schritt_4","text","Ich begleite Sie dabei, neue Wege Schritt für Schritt in Ihren Alltag zu integrieren."
"index","Ablauf","ending","Ich freue mich darauf, Sie auf Ihrem Weg zu begleiten."
"index","Ablauf","button","Jetzt Termin vereinbaren"
