"Seite","Bereich","Feld","Text"
"about","Hero","title","Willkommen bei Aufwind Beratung."
"about","Hero","text","Hier beginnt ein Raum für Klarheit, Selbstwirksamkeit und neue Perspektiven – mit der Sicherheit, nicht allein zu sein."
"about","Einleitung","title","Wer ich bin"
"about","Einleitung","text1","Manchmal geraten wir im Leben an einen Punkt, an dem alles zu viel wird, Entscheidungen schwerfallen oder belastende Situationen den Blick auf die eigenen Stärken trüben. Genau dort begleite ich Sie – mit Empathie, Respekt und einem wertschätzenden Blick."
"about","Einleitung","text2","Ich unterstütze Menschen dabei, persönliche Herausforderungen zu verstehen, innere Ressourcen zu entdecken und neue Wege zu finden, die zu ihrer Lebenssituation passen. In einem geschützten Raum entstehen oft die wichtigsten Perspektiven."
"about","Einleitung","text3","Vertrauen, Empathie und Respekt bilden die Grundlage meiner Arbeit."
"about","Zielgruppe","title","Für wen ich da bin"
"about","Zielgruppe_Karte_1","title","👩 Frauen"
"about","Zielgruppe_Karte_1","text","Begleitung bei belastenden Lebensphasen, Krisensituationen, Veränderungsprozessen und wichtigen Entscheidungen."
"about","Zielgruppe_Karte_2","title","👨‍👩‍👧 Familien"
"about","Zielgruppe_Karte_2","text","Unterstützung bei familiären Veränderungen, Übergängen, Konflikten und schulischen Herausforderungen im Alltag."
"about","Zielgruppe_Karte_3","title","🎓 Kinder und Jugendliche"
"about","Zielgruppe_Karte_3","text","Beratung bei Lern- und Motivationsproblemen, Überforderung, Konflikten und emotionalen Belastungen."
"about","Zielgruppe_Karte_4","title","💻 Online-Beratung"
"about","Zielgruppe_Karte_4","text","Flexibel, ortsunabhängig und vertraulich – auch im digitalen Raum möglich."
"about","Schule","title","Schulische Herausforderungen gemeinsam meistern"
"about","Schule","text1","Schule ist ein wichtiger Bereich im Leben von Kindern, Jugendlichen und Familien – und kann zugleich sehr fordernd sein."
"about","Schule","text2","In der Beratung schaffen wir einen sicheren Raum, um Belastungen zu besprechen, Zusammenhänge zu verstehen und neue Wege für die Familie zu entdecken."
"about","Zitat","text","Aufwind entsteht dort, wo Menschen ihre eigenen Stärken wieder entdecken und neue Perspektiven auf ihr Leben gewinnen."
"about","Qualifikationen","title","Qualifikationen & Erfahrung"
"about","Qualifikationen_Ausbildung","title","🎓 Ausbildung"
"about","Qualifikationen_Ausbildung","1","Lehramtsstudium, Erste Staatsprüfung 2002 in Kassel"
"about","Qualifikationen_Ausbildung","2","Zweite Staatsprüfung 2004 in Frankfurt am Main"
"about","Qualifikationen_Ausbildung","3","Ausbildung zur psychologischen und systemischen Beraterin, Zertifikat 2022 in Remscheid"
"about","Qualifikationen_Berufserfahrung","title","💼 Berufserfahrung"
"about","Qualifikationen_Berufserfahrung","1","Lehrerin an verschiedenen Grundschulen in Frankfurt und Wiesbaden seit 2004"
"about","Qualifikationen_Berufserfahrung","2","Mentorin für Praktikantinnen und Referendare"
"about","Qualifikationen_Berufserfahrung","3","Ausbildungsbeauftragte für die Lehrerausbildung in Offenbach und Wiesbaden"
"about","Qualifikationen_Beratung","title","📜 Beraterin mit staatlicher Zulassung seit 2022"
"about","Qualifikationen_Beratung","1","Psychologische Beratung"
"about","Qualifikationen_Beratung","2","Systemische Beratung"
"about","CTA","title","Ich freue mich darauf, Sie ein Stück Ihres Weges zu begleiten."
"about","CTA","button","Kontakt aufnehmen"
