"Seite","Bereich","Feld","Text"
"booking","Hero","title","Termin buchen"
"booking","Hero","text","Wählen Sie Schritt für Schritt einen passenden Termin für Ihre Beratung."
"booking","Fortschritt_step","1","1. Beratung"
"booking","Fortschritt_step","2","2. Termin"
"booking","Fortschritt_step","3","3. Daten"
"booking","Fortschritt_step","4","4. Bestätigung"
"booking","Beratung","title","Ihre Beratung"
"booking","Beratung","loading","Beratungsangebote werden geladen..."
"booking","Beratung_next","button","Weiter zu Datum & Uhrzeit"
"booking","Datum","title","Datum & Uhrzeit auswählen"
"booking","Datum_weekday","monday","Mo"
"booking","Datum_weekday","tuesday","Di"
"booking","Datum_weekday","wednesday","Mi"
"booking","Datum_weekday","thursday","Do"
"booking","Datum_weekday","friday","Fr"
"booking","Datum_weekday","saturday","Sa"
"booking","Datum_weekday","sunday","So"
"booking","Datum_date","placeholder","Bitte wählen Sie zuerst ein Datum aus."
"booking","Datum_available","times","Freie Zeiten"
"booking","Datum_location","title","Beratungsform"
"booking","Datum_location","in_person","Vor Ort"
"booking","Datum_location","online","Online"
"booking","Datum_previous","button","Zurück"
"booking","Datum_next","button","Weiter zu Ihren Daten"
"booking","Daten","title","Ihre Daten"
"booking","Daten_first_name","label","Vorname *"
"booking","Daten_last_name","label","Nachname *"
"booking","Daten_email","label","E-Mail *"
"booking","Daten_phone","label","Telefon"
"booking","Daten_message","label","Nachricht"
"booking","Daten_message","counter","/ 2000"
"booking","Daten_message_too","long","Die Nachricht ist zu lang. Bitte kürzen Sie auf maximal 2000 Zeichen."
"booking","Daten_required","note","* Pflichtfelder"
"booking","Daten_form","error","Bitte füllen Sie alle Pflichtfelder korrekt aus."
"booking","Daten_previous","button","Zurück"
"booking","Daten_next","button","Weiter zur Zusammenfassung"
"booking","Zusammenfassung","title","Zusammenfassung"
"booking","Zusammenfassung","loading","Zusammenfassung wird später angezeigt."
"booking","Zusammenfassung_booking","error","Die Buchung konnte leider nicht abgeschlossen werden. Bitte versuchen Sie es erneut."
"booking","Zusammenfassung_previous","button","Zurück"
"booking","Zusammenfassung_confirm","button","Termin bestätigen"
